Date,SP500-EPS-Index,SP500-EPS-Ensemble-Pred,SP500-EPS-Ensemble_Pred_Smth,SP500-EPS-Ensemble-Pred-Smth
1972-05-01,100.783629197305,140.86764241363247,140.94404296875,167.19459776975512
1972-06-01,101.678906381238,166.46447961024415,166.596097808161,71.82855020207
1972-07-01,102.6276808871,166.46447961024415,165.56568309265714,191.50095384390968
1972-08-01,103.58712695305098,166.46447961024415,170.20572496006645,423.2033068769483
1972-09-01,104.557526373906,923.6200689036142,913.3075520588143,666.2541686100658
1972-10-01,106.178689610169,923.6200689036142,943.159533253657,855.420165934451
1972-11-01,107.767622641588,923.6200689036142,898.9140991137799,965.078291214571
1972-12-01,109.353441323265,923.6200689036142,941.3029280419184,1000.0714601102856
1973-01-01,111.470208477209,923.6200689036142,923.5156175759737,982.6299107531067
1973-02-01,113.674164857599,923.6200689036142,910.4524708803845,940.4133322748812
1973-03-01,115.808153081644,923.6200689036142,932.9851511422573,897.8942937071282
1973-04-01,118.22172530648,923.6200689036142,928.5668629475883,871.5619298223722
1973-05-01,120.67061751365,923.6200689036142,1.31893031786175e-14,868.4622938987329
1973-06-01,123.094587766639,923.6200689036142,1.4039043304647518e-14,887.1614836381691
1973-07-01,125.743387259952,923.6200689036142,1.4037404107442648e-14,920.1298581362088
1973-08-01,128.383464473304,923.6200689036142,1.3197205799486964e-14,956.6586822657932
1973-09-01,130.990276480069,923.6200689036142,1.5787176133435013e-14,985.6323132340285
1973-10-01,133.668878249503,923.6200689036142,1.2494437329724495e-14,997.7196242163975
1973-11-01,136.356680967305,923.6200689036142,9.30823097809916e-15,986.7731204451788
1973-12-01,138.917274534536,923.6200689036142,8.450737447945616e-15,950.4079424499819
1974-01-01,140.143000724348,923.6200689036142,8.689672722650039e-15,889.864799510279
1974-02-01,141.221580454501,923.6200689036142,8.763367234559084e-15,809.340010254562
1974-03-01,142.326052043694,923.6200689036142,9.123267197026763e-15,714.9979468761308
1974-04-01,144.601130125947,923.6200689036142,8.74815738425532e-15,613.8756942981014
1974-05-01,146.70405496128203,173.7053392944909,8.160947239007209e-15,512.8575964100546
1974-06-01,148.90291705600896,173.7053392944909,8.190278368005417e-15,417.8494663877825
1974-07-01,150.921319095373,221.58167341744917,7.818877853910773e-15,333.22833818297545
1974-08-01,153.059505288148,255.6308843503173,7.507987144843143e-15,261.5916675046999
1974-09-01,155.102471885103,255.6308843503173,7.30889712175771e-15,203.7856474652838
1974-10-01,153.990585403836,255.6308843503173,6.234381919817824e-15,159.15939493768283
1974-11-01,152.72743682310403,155.44301332364202,3.5162286126409337e-15,125.97176327768508
1974-12-01,151.496513533259,136.8199852381421,-1.903445426642744e-16,101.87028610838408
1975-01-01,148.889770165819,136.8199852381421,2.2218622365826713e-15,84.36574432164073
1975-02-01,146.373440685674,65.7751593741567,1.7260955665911656e-15,71.23863353437119
1975-03-01,143.983384973146,65.7751593741567,1.4430556848479465e-15,60.83243761411981
1975-04-01,141.182454881957,65.7751593741567,1.6326348531978098e-15,52.209997723816315
1975-05-01,138.369038356993,65.7751593741567,2.096949399338274e-15,45.17052266721137
1975-06-01,135.545601555765,65.7751593741567,1.3202590386322e-15,40.14347489940039
1975-07-01,134.404201670318,-31.20646637227294,2.3668955969546217e-15,37.98985314861196
